@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
412,'2020/03/23 12:45:18:355',5,0.568658,-0.404049,0.132106,0.027062,0.448072,0.265934,0.208829,1,0,0,0,0,0
413,'2020/03/23 12:45:18:366',5,0.590885,-0.357546,0.193268,0.007074,0.460439,0.325096,0.227524,1,0,0,0,0,0
414,'2020/03/23 12:45:18:378',5,0.531359,-0.411145,0.136218,0.026776,0.502724,0.311263,0.20611,1,0,0,0,0,0
415,'2020/03/23 12:45:18:390',5,0.553848,-0.384462,0.067987,-0.002154,0.399984,0.235182,0.164146,1,0,0,0,0,0
416,'2020/03/23 12:45:18:402',5,0.562925,-0.397339,0.134478,-0.004294,0.453251,0.280314,0.218769,1,0,0,0,0,0
417,'2020/03/23 12:45:18:413',5,0.548941,-0.411595,0.148555,0.012121,0.461165,0.264177,0.206606,1,0,0,0,0,0
418,'2020/03/23 12:45:18:414',5,0.548941,-0.411595,0.148555,0.012121,0.461165,0.264177,0.206606,1,0,0,0,0,0
419,'2020/03/23 12:45:18:424',5,0.514776,-0.374429,0.182317,0.051489,0.453861,0.257057,0.230938,1,0,0,0,0,0
420,'2020/03/23 12:45:18:436',5,0.593373,-0.376545,0.172278,0.023046,0.475565,0.32441,0.234561,1,0,0,0,0,0
421,'2020/03/23 12:45:18:448',5,0.616273,-0.39083,0.104575,-0.00407,0.438897,0.298221,0.240144,1,0,0,0,0,0
422,'2020/03/23 12:45:18:459',5,0.58433,-0.387877,0.12427,0.023068,0.433322,0.256982,0.189471,1,0,0,0,0,0
423,'2020/03/23 12:45:18:471',5,0.57748,-0.373268,0.180612,0.019828,0.479858,0.318115,0.222894,1,0,0,0,0,0
424,'2020/03/23 12:45:18:483',5,0.538273,-0.407706,0.149988,0.004591,0.481802,0.322397,0.223725,1,0,0,0,0,0
425,'2020/03/23 12:45:18:495',5,0.53429,-0.398448,0.075243,0.012862,0.437095,0.243317,0.160872,1,0,0,0,0,0
426,'2020/03/23 12:45:18:495',5,0.53429,-0.398448,0.075243,0.012862,0.437095,0.243317,0.160872,1,0,0,0,0,0
427,'2020/03/23 12:45:18:506',5,0.562324,-0.394009,0.128064,-0.008897,0.449705,0.286839,0.206578,1,0,0,0,0,0
