@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
110,'2020/03/24 18:45:40:134',1,0.573133,-0.401687,0.140144,0.029251,0.458012,0.27638,0.216296,0.156989,0.254488,0.325192,0.29821,0.184318,0.278888,1,0,0,0,0,0
111,'2020/03/24 18:45:40:145',1,0.590585,-0.355846,0.193906,0.003439,0.456086,0.327803,0.232523,0.190787,0.282266,0.346001,0.333538,0.190421,0.299951,1,0,0,0,0,0
112,'2020/03/24 18:45:40:157',1,0.525449,-0.413348,0.125401,0.02629,0.4969,0.297717,0.191787,0.120678,0.215543,0.296716,0.291577,0.126564,0.247569,1,0,0,0,0,0
113,'2020/03/24 18:45:40:168',1,0.581953,-0.360425,0.091795,0.004072,0.406106,0.245579,0.167285,0.107117,0.179096,0.244348,0.255362,0.148879,0.264655,1,0,0,0,0,0
114,'2020/03/24 18:45:40:180',1,0.565186,-0.395661,0.137103,-0.003338,0.453855,0.275426,0.216752,0.151978,0.217553,0.297571,0.291456,0.161645,0.311019,1,0,0,0,0,0
115,'2020/03/24 18:45:40:192',1,0.551909,-0.410314,0.152624,0.017972,0.457278,0.262461,0.206375,0.113282,0.188011,0.284902,0.30846,0.148101,0.272762,1,0,0,0,0,0
116,'2020/03/24 18:45:40:203',1,0.513306,-0.373938,0.18047,0.054329,0.463035,0.261014,0.227343,0.178364,0.222235,0.323031,0.287816,0.134909,0.319749,1,0,0,0,0,0
117,'2020/03/24 18:45:40:217',1,0.599285,-0.371786,0.172743,0.014404,0.470073,0.329611,0.249135,0.156043,0.239162,0.324929,0.328948,0.202034,0.340942,1,0,0,0,0,0
118,'2020/03/24 18:45:40:218',1,0.599285,-0.371786,0.172743,0.014404,0.470073,0.329611,0.249135,0.156043,0.239162,0.324929,0.328948,0.202034,0.340942,1,0,0,0,0,0
119,'2020/03/24 18:45:40:230',1,0.621547,-0.38643,0.101506,-0.003197,0.438238,0.296491,0.227261,0.182187,0.278514,0.32575,0.319276,0.16463,0.294028,1,0,0,0,0,0
120,'2020/03/24 18:45:40:238',1,0.571723,-0.397887,0.125317,0.02432,0.436148,0.256706,0.196298,0.149516,0.26877,0.342318,0.319584,0.170109,0.270856,1,0,0,0,0,0
121,'2020/03/24 18:45:40:250',1,0.582435,-0.366572,0.185738,0.013989,0.473185,0.319873,0.221889,0.192935,0.275102,0.333672,0.319672,0.211443,0.32048,1,0,0,0,0,0
122,'2020/03/24 18:45:40:261',1,0.536109,-0.409406,0.14658,0.014887,0.493762,0.321405,0.220015,0.147233,0.252694,0.341234,0.326725,0.149964,0.259845,1,0,0,0,0,0
