@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
60,'2020/03/23 14:25:28:132',1,0.573528,-0.384772,0.130436,-0.006287,0.450214,0.292444,0.205612,0.15245,0.202776,0.262432,0.262217,0.142565,0.268257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,'2020/03/23 14:25:28:144',1,0.555261,-0.402899,0.13735,-0.009883,0.455362,0.26235,0.20996,0.12944,0.20223,0.289549,0.306229,0.167521,0.320295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,'2020/03/23 14:25:28:155',1,0.536591,-0.392223,0.172602,0.037394,0.437361,0.25384,0.222074,0.149913,0.203938,0.302892,0.292516,0.136169,0.279629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,'2020/03/23 14:25:28:166',1,0.541747,-0.387294,0.166949,0.050364,0.487988,0.296297,0.21227,0.153331,0.229589,0.336161,0.308998,0.174375,0.354011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,'2020/03/23 14:25:28:178',1,0.606939,-0.377566,0.144847,-0.000542,0.452622,0.32027,0.280631,0.183012,0.246903,0.296745,0.321899,0.174724,0.295036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,'2020/03/23 14:25:28:190',1,0.627739,-0.369943,0.110323,0.00991,0.432801,0.277296,0.184212,0.163749,0.278197,0.34814,0.332022,0.166258,0.297003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,'2020/03/23 14:25:28:202',1,0.575898,-0.395714,0.152977,0.029234,0.470752,0.292901,0.223215,0.167995,0.256769,0.326918,0.299344,0.199262,0.294152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,'2020/03/23 14:25:28:202',1,0.575898,-0.395714,0.152977,0.029234,0.470752,0.292901,0.223215,0.167995,0.256769,0.326918,0.299344,0.199262,0.294152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,'2020/03/23 14:25:28:213',1,0.585616,-0.360396,0.188784,0.000435,0.458358,0.331505,0.236081,0.178757,0.279237,0.352369,0.338409,0.179737,0.287042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,'2020/03/23 14:25:28:225',1,0.519449,-0.414277,0.108898,0.024116,0.483456,0.277566,0.174592,0.107246,0.197063,0.276063,0.277943,0.122388,0.250701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,'2020/03/23 14:25:28:236',1,0.606212,-0.349667,0.118187,0.001034,0.420401,0.264216,0.170937,0.120617,0.170744,0.239439,0.252515,0.146143,0.251754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,'2020/03/23 14:25:28:248',1,0.56775,-0.392296,0.141731,-0.003284,0.455742,0.270867,0.214912,0.144368,0.209829,0.29262,0.29382,0.162858,0.316397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,'2020/03/23 14:25:28:259',1,0.552138,-0.405946,0.159293,0.026751,0.451065,0.260069,0.208518,0.120179,0.192767,0.288565,0.301367,0.141594,0.266094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,'2020/03/23 14:25:28:271',1,0.516486,-0.37625,0.176035,0.056571,0.475511,0.269405,0.220221,0.173948,0.229667,0.32962,0.289696,0.14032,0.330247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,'2020/03/23 14:25:28:272',1,0.516486,-0.37625,0.176035,0.056571,0.475511,0.269405,0.220221,0.173948,0.229667,0.32962,0.289696,0.14032,0.330247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,'2020/03/23 14:25:28:283',1,0.600044,-0.370575,0.169374,0.006109,0.462947,0.333144,0.271933,0.171256,0.243232,0.313895,0.32951,0.198373,0.32801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,'2020/03/23 14:25:28:294',1,0.628801,-0.377447,0.100838,-0.00102,0.438245,0.294041,0.20899,0.178709,0.284322,0.337361,0.323666,0.168932,0.304324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,'2020/03/23 14:25:28:306',1,0.568118,-0.403609,0.13043,0.026621,0.445285,0.263282,0.2064,0.149686,0.258318,0.330136,0.306608,0.176316,0.273352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,'2020/03/23 14:25:28:318',1,0.58965,-0.358994,0.192202,0.007968,0.462032,0.323406,0.225569,0.194596,0.279426,0.338728,0.327627,0.20124,0.31209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,'2020/03/23 14:25:28:329',1,0.533572,-0.410008,0.139659,0.026238,0.503259,0.314822,0.210081,0.136411,0.235653,0.319748,0.308074,0.135919,0.25094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
